ARG Name	Drug Class	Resistance Mechanism	Updated Resistance Mechanism
AAC(6')-Ir	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AAC(6')-Is	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AAC(6')-Iw	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AAC(6')-Iz	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AAC(6')-Iaf	aminoglycoside	antibiotic inactivation	antibiotic inactivation
aadA6/aadA10	aminoglycoside	antibiotic inactivation	antibiotic inactivation
aadA11	aminoglycoside	antibiotic inactivation	antibiotic inactivation
aadA13	aminoglycoside	antibiotic inactivation	antibiotic inactivation
aadA14	aminoglycoside	antibiotic inactivation	antibiotic inactivation
aadA16	aminoglycoside	antibiotic inactivation	antibiotic inactivation
aadA4	aminoglycoside	antibiotic inactivation	antibiotic inactivation
aadA6	aminoglycoside	antibiotic inactivation	antibiotic inactivation
aadA7	aminoglycoside	antibiotic inactivation	antibiotic inactivation
aad9	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AadD	aminoglycoside	antibiotic inactivation	antibiotic inactivation
aadE	aminoglycoside	antibiotic inactivation	antibiotic inactivation
aadK	aminoglycoside	antibiotic inactivation	antibiotic inactivation
ANT(4')-IIa	aminoglycoside	antibiotic inactivation	antibiotic inactivation
ANT(4')-IIb	aminoglycoside	antibiotic inactivation	antibiotic inactivation
ANT(4')-Ia	aminoglycoside	antibiotic inactivation	antibiotic inactivation
aad(6)	aminoglycoside	antibiotic inactivation	antibiotic inactivation
ANT(6)-Ib	aminoglycoside	antibiotic inactivation	antibiotic inactivation
APH(2'')-IIa	aminoglycoside	antibiotic inactivation	antibiotic inactivation
APH(2'')-IIIa	aminoglycoside	antibiotic inactivation	antibiotic inactivation
APH(2'')-Ie	aminoglycoside	antibiotic inactivation	antibiotic inactivation
APH(3')-Ia	aminoglycoside	antibiotic inactivation	antibiotic inactivation
APH(3')-IIIa	aminoglycoside	antibiotic inactivation	antibiotic inactivation
APH(3')-IIb	aminoglycoside	antibiotic inactivation	antibiotic inactivation
APH(3')-IIc	aminoglycoside	antibiotic inactivation	antibiotic inactivation
APH(3')-IVa	aminoglycoside	antibiotic inactivation	antibiotic inactivation
Aph3Ic	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AC230_04535	aminoglycoside	antibiotic inactivation	antibiotic inactivation
APH(3')-VIIa	aminoglycoside	antibiotic inactivation	antibiotic inactivation
T630_4108	aminoglycoside	antibiotic inactivation	antibiotic inactivation
APH(3')-Vc	aminoglycoside	antibiotic inactivation	antibiotic inactivation
APH(3')-IIa	aminoglycoside	antibiotic inactivation	antibiotic inactivation
APH(4)-Ia	aminoglycoside	antibiotic inactivation	antibiotic inactivation
APH(6)-Ib	aminoglycoside	antibiotic inactivation	antibiotic inactivation
APH(9)-Ia	aminoglycoside	antibiotic inactivation	antibiotic inactivation
apmA	aminoglycoside	antibiotic inactivation	antibiotic inactivation
rmtB	aminoglycoside	antibiotic target alteration	antibiotic target alteration
npmA	aminoglycoside	antibiotic target alteration	antibiotic target alteration
rmtA	aminoglycoside	antibiotic target alteration	antibiotic target alteration
rmtC	aminoglycoside	antibiotic target alteration	antibiotic target alteration
rmtD	aminoglycoside	antibiotic target alteration	antibiotic target alteration
rmtF	aminoglycoside	antibiotic target alteration	antibiotic target alteration
rmtG	aminoglycoside	antibiotic target alteration	antibiotic target alteration
rmtH	aminoglycoside	antibiotic target alteration	antibiotic target alteration
sat-1	streptothricin	antibiotic inactivation	antibiotic inactivation
sat-3	aminoglycoside	antibiotic inactivation	antibiotic inactivation
sat-4	aminoglycoside	antibiotic inactivation	antibiotic inactivation
aad9Ib	aminoglycoside	antibiotic inactivation	antibiotic inactivation
APH(6)-Ic	aminoglycoside	antibiotic inactivation	antibiotic inactivation
str	aminoglycoside	antibiotic inactivation	antibiotic inactivation
APH(3')-Ib	aminoglycoside	antibiotic inactivation	antibiotic inactivation
APH(9)-Ib	aminoglycoside	antibiotic inactivation	antibiotic inactivation
aph(3'')-Ib	aminoglycoside	antibiotic inactivation	antibiotic inactivation
CMY-34	beta_lactam	antibiotic inactivation	antibiotic inactivation
mrdA	beta_lactam	antibiotic target replacement	antibiotic target replacement
ampC	beta_lactam	antibiotic inactivation	antibiotic inactivation
LCR-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
ampS	aminoglycoside	antibiotic target alteration	antibiotic target alteration
blaA	beta_lactam	antibiotic inactivation	antibiotic inactivation
ACT-12	beta_lactam	antibiotic inactivation	antibiotic inactivation
AER-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
OKP-A-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
CF70_016075	beta_lactam	antibiotic inactivation	antibiotic inactivation
bla	beta_lactam	antibiotic inactivation	antibiotic inactivation
DHA-21	beta_lactam	antibiotic inactivation	antibiotic inactivation
MOX-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
MOX-5	beta_lactam	antibiotic inactivation	antibiotic inactivation
MOX-8	beta_lactam	antibiotic inactivation	antibiotic inactivation
TUS-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
MUS-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
SLB-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
SFB-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
SMB-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
SRT-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
Sfh-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
NmcR	beta_lactam	antibiotic inactivation	antibiotic inactivation
Sed1	beta_lactam	antibiotic inactivation	antibiotic inactivation
blaRAHN-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
LRA-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
PER-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
PER-2	beta_lactam	antibiotic inactivation	antibiotic inactivation
L1	beta_lactam	antibiotic inactivation	antibiotic inactivation
KHM-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
JOHN-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
CARB-10	beta_lactam	antibiotic inactivation	antibiotic inactivation
IND-7	beta_lactam	antibiotic inactivation	antibiotic inactivation
IND-2	beta_lactam	antibiotic inactivation	antibiotic inactivation
IND-4	beta_lactam	antibiotic inactivation	antibiotic inactivation
IND-6	beta_lactam	antibiotic inactivation	antibiotic inactivation
IND-9	beta_lactam	antibiotic inactivation	antibiotic inactivation
IMP-14	beta_lactam	antibiotic inactivation	antibiotic inactivation
IMP-3	beta_lactam	antibiotic inactivation	antibiotic inactivation
IMP-9	beta_lactam	antibiotic inactivation	antibiotic inactivation
IMP-15	beta_lactam	antibiotic inactivation	antibiotic inactivation
IMP-16	beta_lactam	antibiotic inactivation	antibiotic inactivation
IMP-27	beta_lactam	antibiotic inactivation	antibiotic inactivation
IMP-35	beta_lactam	antibiotic inactivation	antibiotic inactivation
IMP-37	beta_lactam	antibiotic inactivation	antibiotic inactivation
IMI-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
bla(IMI-8)	beta_lactam	antibiotic inactivation	antibiotic inactivation
dsx2_1119	beta_lactam	antibiotic inactivation	antibiotic inactivation
GOB-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
GIM-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
AIM-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
fonA-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
BSONL12_02412	beta_lactam	antibiotic inactivation	antibiotic inactivation
CTX-M-105	beta_lactam	antibiotic inactivation	antibiotic inactivation
EBR-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
DIM-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
VCC-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
BL2c_pse3	beta_lactam	antibiotic inactivation	antibiotic inactivation
blaCMH-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
TLA-2	beta_lactam	antibiotic inactivation	antibiotic inactivation
TLA-3	beta_lactam	antibiotic inactivation	antibiotic inactivation
NDM-6	beta_lactam	antibiotic inactivation	antibiotic inactivation
blaLAP-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
BL3_l	beta_lactam	antibiotic inactivation	antibiotic inactivation
blaPLA-6A	beta_lactam	antibiotic inactivation	antibiotic inactivation
vhw-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
CAU-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
CGB-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
CcrA	beta_lactam	antibiotic inactivation	antibiotic inactivation
BL1_ceps	beta_lactam	antibiotic inactivation	antibiotic inactivation
bcl1	beta_lactam	antibiotic inactivation	antibiotic inactivation
SME-2	beta_lactam	antibiotic inactivation	antibiotic inactivation
KS18_02580	beta_lactam	antibiotic inactivation	antibiotic inactivation
BEL-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
penP	beta_lactam	antibiotic inactivation	antibiotic inactivation
FEZ-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
imiS	beta_lactam	antibiotic inactivation	antibiotic inactivation
mecC	beta_lactam	antibiotic target replacement	antibiotic target replacement
THIN-B	beta_lactam	antibiotic inactivation	antibiotic inactivation
cphA1	beta_lactam	antibiotic inactivation	antibiotic inactivation
cphA2	beta_lactam	antibiotic inactivation	antibiotic inactivation
SOHN41_01775	beta_lactam	antibiotic inactivation	antibiotic inactivation
SPM-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
SIM-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
blaZEG	beta_lactam	antibiotic inactivation	antibiotic inactivation
SME-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
OXY-1-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
OXY-2-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
OXA-3	beta_lactam	antibiotic inactivation	antibiotic inactivation
OXA-9	beta_lactam	antibiotic inactivation	antibiotic inactivation
OXA-12	beta_lactam	antibiotic inactivation	antibiotic inactivation
OXA-18	beta_lactam	antibiotic inactivation	antibiotic inactivation
OXA-20	beta_lactam	antibiotic inactivation	antibiotic inactivation
OXA-29	beta_lactam	antibiotic inactivation	antibiotic inactivation
OXA-42	beta_lactam	antibiotic inactivation	antibiotic inactivation
OXA-45	beta_lactam	antibiotic inactivation	antibiotic inactivation
OXA-48	beta_lactam	antibiotic inactivation	antibiotic inactivation
OXA-49	beta_lactam	antibiotic inactivation	antibiotic inactivation
OXA-50	beta_lactam	antibiotic inactivation	antibiotic inactivation
OXA-53	beta_lactam	antibiotic inactivation	antibiotic inactivation
OXA-55	beta_lactam	antibiotic inactivation	antibiotic inactivation
OXA-58	beta_lactam	antibiotic inactivation	antibiotic inactivation
blaOXA-60c	beta_lactam	antibiotic inactivation	antibiotic inactivation
OXA-61	beta_lactam	antibiotic inactivation	antibiotic inactivation
OXA-62	beta_lactam	antibiotic inactivation	antibiotic inactivation
OXA-114a	beta_lactam	antibiotic inactivation	antibiotic inactivation
OXA-136	beta_lactam	antibiotic inactivation	antibiotic inactivation
OXA-143	beta_lactam	antibiotic inactivation	antibiotic inactivation
OXA-198	beta_lactam	antibiotic inactivation	antibiotic inactivation
OXA-209	beta_lactam	antibiotic inactivation	antibiotic inactivation
OXA-213	beta_lactam	antibiotic inactivation	antibiotic inactivation
OXA-214	beta_lactam	antibiotic inactivation	antibiotic inactivation
OXA-228	beta_lactam	antibiotic inactivation	antibiotic inactivation
OXA-237	beta_lactam	antibiotic inactivation	antibiotic inactivation
OXA-243	beta_lactam	antibiotic inactivation	antibiotic inactivation
OXA-258	beta_lactam	antibiotic inactivation	antibiotic inactivation
OCH-2	beta_lactam	antibiotic inactivation	antibiotic inactivation
CARB-4	beta_lactam	antibiotic inactivation	antibiotic inactivation
CARB-5	beta_lactam	antibiotic inactivation	antibiotic inactivation
BD94_2866	beta_lactam	antibiotic inactivation	antibiotic inactivation
blaB-15	beta_lactam	antibiotic inactivation	antibiotic inactivation
VEB-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
VIM-7	beta_lactam	antibiotic inactivation	antibiotic inactivation
CTX-M-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
CTX-M-2	beta_lactam	antibiotic inactivation	antibiotic inactivation
CTX-M-8	beta_lactam	antibiotic inactivation	antibiotic inactivation
CTX-M-41	beta_lactam	antibiotic inactivation	antibiotic inactivation
CTX-M-45	beta_lactam	antibiotic inactivation	antibiotic inactivation
CTX-M-110	beta_lactam	antibiotic inactivation	antibiotic inactivation
blaAQU-3	beta_lactam	antibiotic inactivation	antibiotic inactivation
LRA-9	beta_lactam	antibiotic inactivation	antibiotic inactivation
blaADC-30	beta_lactam	antibiotic inactivation	antibiotic inactivation
MBL-fold	beta_lactam	antibiotic inactivation	antibiotic inactivation
BN977_05631	beta_lactam	antibiotic inactivation	antibiotic inactivation
tmb1	beta_lactam	antibiotic inactivation	antibiotic inactivation
QnrA1	quinolone	antibiotic target protection	antibiotic target protection
QnrVC1	quinolone	antibiotic target protection	antibiotic target protection
QnrB41	quinolone	antibiotic target protection	antibiotic target protection
QnrD1	quinolone	antibiotic target protection	antibiotic target protection
QnrS1	quinolone	antibiotic target protection	antibiotic target protection
QnrVC5	quinolone	antibiotic target protection	antibiotic target protection
FosA3	fosfomycin	antibiotic inactivation	antibiotic inactivation
FosC	fosfomycin	antibiotic inactivation	antibiotic inactivation
FosA2	fosfomycin	antibiotic inactivation	antibiotic inactivation
fosX	fosfomycin	antibiotic inactivation	antibiotic inactivation
fusB	fusidic_acid	antibiotic inactivation	antibiotic inactivation
vanHM	glycopeptide	antibiotic target alteration	antibiotic target alteration
vanYM	glycopeptide	antibiotic target alteration	antibiotic target alteration
vanXM	glycopeptide	antibiotic target alteration	antibiotic target alteration
vanHF	glycopeptide	antibiotic target alteration	antibiotic target alteration
vanC	glycopeptide	antibiotic target alteration	antibiotic target alteration
vanYB	glycopeptide	antibiotic target alteration	antibiotic target alteration
vanXB	glycopeptide	antibiotic target alteration	antibiotic target alteration
vanXD	glycopeptide	antibiotic target alteration	antibiotic target alteration
vanXYL	glycopeptide	antibiotic target alteration	antibiotic target alteration
vanTmL	glycopeptide	antibiotic target alteration	antibiotic target alteration
vanTrL	glycopeptide	antibiotic target alteration	antibiotic target alteration
vanHO	glycopeptide	antibiotic target alteration	antibiotic target alteration
vanL	glycopeptide	antibiotic target alteration	antibiotic target alteration
VanXYC	glycopeptide	antibiotic target alteration	antibiotic target alteration
vanTC	glycopeptide	antibiotic target alteration	antibiotic target alteration
vanHA	glycopeptide	antibiotic target alteration	antibiotic target alteration
vanA	glycopeptide	antibiotic target alteration	antibiotic target alteration
vanO	glycopeptide	antibiotic target alteration	antibiotic target alteration
vanD	glycopeptide	antibiotic target alteration	antibiotic target alteration
vanG	glycopeptide	antibiotic inactivation	antibiotic inactivation
vanM	glycopeptide	antibiotic target alteration	antibiotic target alteration
vanF	glycopeptide	antibiotic target alteration	antibiotic target alteration
vanH	glycopeptide	antibiotic target alteration	antibiotic target alteration
vanHB	glycopeptide	antibiotic target alteration	antibiotic target alteration
vanHD	glycopeptide	antibiotic target alteration	antibiotic target alteration
vanXYC	glycopeptide	antibiotic target alteration	antibiotic target alteration
vanWB	glycopeptide	antibiotic target alteration	antibiotic target alteration
vanXA	glycopeptide	antibiotic target alteration	antibiotic target alteration
vanXO	glycopeptide	antibiotic target alteration	antibiotic target alteration
vanX	glycopeptide	antibiotic target alteration	antibiotic target alteration
vanXF	glycopeptide	antibiotic target alteration	antibiotic target alteration
VanYA	glycopeptide	antibiotic target alteration	antibiotic target alteration
vanYF	glycopeptide	antibiotic target alteration	antibiotic target alteration
VanZ	glycopeptide	antibiotic target alteration	antibiotic target alteration
vanZF	glycopeptide	antibiotic target alteration	antibiotic target alteration
vanE	glycopeptide	antibiotic target alteration	antibiotic target alteration
EreA2	macrolide;lincosamide;streptogramin	antibiotic inactivation	antibiotic inactivation
EreB	macrolide;lincosamide;streptogramin	antibiotic inactivation	antibiotic inactivation
Erm(30)	macrolide;lincosamide;streptogramin	antibiotic target alteration	antibiotic target alteration
Erm(31)	macrolide;lincosamide;streptogramin	antibiotic target alteration	antibiotic target alteration
tlrB	macrolide;lincosamide;streptogramin	antibiotic target alteration	antibiotic target alteration
Erm(33)	macrolide;lincosamide;streptogramin	antibiotic target alteration	antibiotic target alteration
Erm(34)	macrolide;lincosamide;streptogramin	antibiotic target alteration	antibiotic target alteration
Erm(35)	macrolide;lincosamide;streptogramin	antibiotic target alteration	antibiotic target alteration
Erm(36)	macrolide;lincosamide;streptogramin	antibiotic target alteration	antibiotic target alteration
Erm(41)	macrolide;lincosamide;streptogramin	antibiotic target alteration	antibiotic target alteration
ErmA	macrolide;lincosamide;streptogramin	antibiotic target alteration	antibiotic target alteration
ErmC	macrolide;lincosamide;streptogramin	antibiotic target alteration	antibiotic target alteration
ErmD	macrolide;lincosamide;streptogramin	antibiotic target alteration	antibiotic target alteration
ErmF	macrolide;lincosamide;streptogramin	antibiotic target alteration	antibiotic target alteration
ErmG	macrolide;lincosamide;streptogramin	antibiotic target alteration	antibiotic target alteration
ErmH	macrolide;lincosamide;streptogramin	antibiotic target alteration	antibiotic target alteration
ErmN	macrolide;lincosamide;streptogramin	antibiotic target alteration	antibiotic target alteration
ErmO	macrolide;lincosamide;streptogramin	antibiotic target alteration	antibiotic target alteration
ErmQ	macrolide;lincosamide;streptogramin	antibiotic target alteration	antibiotic target alteration
ErmR	macrolide;lincosamide;streptogramin	antibiotic target alteration	antibiotic target alteration
ErmS	macrolide;lincosamide;streptogramin	antibiotic target alteration	antibiotic target alteration
ErmT	macrolide;lincosamide;streptogramin	antibiotic target alteration	antibiotic target alteration
ErmV	macrolide;lincosamide;streptogramin	antibiotic target alteration	antibiotic target alteration
ErmW	macrolide;lincosamide;streptogramin	antibiotic target alteration	antibiotic target alteration
ErmX	macrolide;lincosamide;streptogramin	antibiotic target alteration	antibiotic target alteration
ErmY	macrolide;lincosamide;streptogramin	antibiotic target alteration	antibiotic target alteration
lnuB	macrolide;lincosamide;streptogramin	antibiotic inactivation	antibiotic inactivation
ErmU	macrolide;lincosamide;streptogramin	antibiotic target alteration	antibiotic target alteration
linA	macrolide;lincosamide;streptogramin	antibiotic inactivation	antibiotic inactivation
lnuC	macrolide;lincosamide;streptogramin	antibiotic inactivation	antibiotic inactivation
lnuD	macrolide;lincosamide;streptogramin	antibiotic inactivation	antibiotic inactivation
linG	macrolide;lincosamide;streptogramin	antibiotic inactivation	antibiotic inactivation
lsaA	multidrug	antibiotic target protection	antibiotic target protection
lsaB	multidrug	antibiotic target protection	antibiotic target protection
lsaC	multidrug	antibiotic target protection	antibiotic target protection
mphB	macrolide;lincosamide;streptogramin	antibiotic inactivation	antibiotic inactivation
mphC	macrolide;lincosamide;streptogramin	antibiotic inactivation	antibiotic inactivation
mphD	macrolide;lincosamide;streptogramin	antibiotic inactivation	antibiotic inactivation
MsrA	macrolide;lincosamide;streptogramin	antibiotic target protection	antibiotic target protection
msrC	macrolide;lincosamide;streptogramin	antibiotic target protection	antibiotic target protection
mel	macrolide;lincosamide;streptogramin	antibiotic target protection	antibiotic target protection
msrE	macrolide;lincosamide;streptogramin	antibiotic target protection	antibiotic target protection
oleB	macrolide;lincosamide;streptogramin	antibiotic target protection	antibiotic target protection
vatB	macrolide;lincosamide;streptogramin	antibiotic inactivation	antibiotic inactivation
vatC	macrolide;lincosamide;streptogramin	antibiotic inactivation	antibiotic inactivation
vatD	macrolide;lincosamide;streptogramin	antibiotic inactivation	antibiotic inactivation
vatE	macrolide;lincosamide;streptogramin	antibiotic inactivation	antibiotic inactivation
vatF	macrolide;lincosamide;streptogramin	antibiotic inactivation	antibiotic inactivation
vgaALC	macrolide;lincosamide;streptogramin	antibiotic target protection	antibiotic target protection
vgaB	multidrug	antibiotic target protection	antibiotic target protection
vgaD	multidrug	antibiotic target protection	antibiotic target protection
vgaE	macrolide;lincosamide;streptogramin	antibiotic target protection	antibiotic target protection
VgbA	macrolide;lincosamide;streptogramin	antibiotic inactivation	antibiotic inactivation
VgbB	macrolide;lincosamide;streptogramin	antibiotic inactivation	antibiotic inactivation
carA	macrolide;lincosamide;streptogramin	antibiotic target protection	antibiotic target protection
vgb	macrolide;lincosamide;streptogramin	antibiotic inactivation	antibiotic inactivation
cat	chloramphenicol	antibiotic inactivation	antibiotic inactivation
IO48_10670	chloramphenicol	antibiotic inactivation	antibiotic inactivation
cat86	chloramphenicol	antibiotic inactivation	antibiotic inactivation
catII	chloramphenicol	antibiotic inactivation	antibiotic inactivation
catIII	chloramphenicol	antibiotic inactivation	antibiotic inactivation
catB	chloramphenicol	antibiotic inactivation	antibiotic inactivation
catB2	chloramphenicol	antibiotic inactivation	antibiotic inactivation
catB3	chloramphenicol	antibiotic inactivation	antibiotic inactivation
catB9	chloramphenicol	antibiotic inactivation	antibiotic inactivation
catB7	chloramphenicol	antibiotic inactivation	antibiotic inactivation
catB8	chloramphenicol	antibiotic inactivation	antibiotic inactivation
catB10	chloramphenicol	antibiotic inactivation	antibiotic inactivation
catD	chloramphenicol	antibiotic inactivation	antibiotic inactivation
catQ	chloramphenicol	antibiotic inactivation	antibiotic inactivation
cmlv	chloramphenicol	antibiotic inactivation	antibiotic inactivation
arr-4	rifampin	antibiotic inactivation	antibiotic inactivation
arr-5	rifampin	antibiotic inactivation	antibiotic inactivation
arr-7	rifampin	antibiotic inactivation	antibiotic inactivation
rif	rifampin	antibiotic inactivation	antibiotic inactivation
iri	rifampin	antibiotic inactivation	antibiotic inactivation
sul3	sulfonamide	antibiotic target replacement	antibiotic target replacement
otrA	tetracycline	antibiotic target protection	antibiotic target protection
tet34	tetracycline	antibiotic target alteration	antibiotic target alteration
tet36	tetracycline	antibiotic target protection	antibiotic target protection
tet37	tetracycline	antibiotic inactivation	antibiotic inactivation
tet44	tetracycline	antibiotic target protection	antibiotic target protection
tetH	tetracycline	antibiotic inactivation	antibiotic inactivation
tetO	tetracycline	antibiotic target protection	antibiotic target protection
tetT	tetracycline	antibiotic target protection	antibiotic target protection
MCR-1	polymyxin	antibiotic target alteration	antibiotic target alteration
APH(3')-Va	aminoglycoside	antibiotic inactivation	antibiotic inactivation
ErmE	macrolide;lincosamide;streptogramin	antibiotic target alteration	antibiotic target alteration
FosA5	fosfomycin	antibiotic inactivation	antibiotic inactivation
clbB	multidrug	antibiotic target alteration	antibiotic target alteration
srmB	macrolide;lincosamide;streptogramin	antibiotic target protection	antibiotic target protection
FosX	fosfomycin	antibiotic inactivation	antibiotic inactivation
arr-8	rifampin	antibiotic inactivation	antibiotic inactivation
rgt1438	rifampin	antibiotic inactivation	antibiotic inactivation
myrA	macrolide;lincosamide;streptogramin	antibiotic target alteration	antibiotic target alteration
vanN	glycopeptide	antibiotic target alteration	antibiotic target alteration
tsnR	thiostrepton	antibiotic target alteration	antibiotic target alteration
FomA	fosfomycin	antibiotic inactivation	antibiotic inactivation
bcrC	bacitracin	antibiotic target alteration	antibiotic target alteration
vanXYG	glycopeptide	antibiotic target alteration	antibiotic target alteration
lsaE	macrolide;lincosamide;streptogramin	antibiotic target protection	antibiotic target protection
vanYG1	glycopeptide	antibiotic target alteration	antibiotic target alteration
chrB	macrolide;lincosamide;streptogramin	antibiotic target alteration	antibiotic target alteration
aadA9	aminoglycoside	antibiotic inactivation	antibiotic inactivation
r39	beta_lactam	antibiotic inactivation	antibiotic inactivation
CARB-23	beta_lactam	antibiotic inactivation	antibiotic inactivation
CTX-M-151	beta_lactam	antibiotic inactivation	antibiotic inactivation
SHV-112	beta_lactam	antibiotic inactivation	antibiotic inactivation
Erm(37)	macrolide;lincosamide;streptogramin	antibiotic target alteration	antibiotic target alteration
mphE	macrolide;lincosamide;streptogramin	antibiotic inactivation	antibiotic inactivation
blaF	beta_lactam	antibiotic inactivation	antibiotic inactivation
PmrC	polymyxin	antibiotic target alteration	antibiotic target alteration
vanXYN	glycopeptide	antibiotic target alteration	antibiotic target alteration
TLA-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
vanXYE	glycopeptide	antibiotic target alteration	antibiotic target alteration
OXA-361	beta_lactam	antibiotic inactivation	antibiotic inactivation
mecR1	beta_lactam	antibiotic target replacement	antibiotic target replacement
APH(7'')-Ia	aminoglycoside	antibiotic inactivation	antibiotic inactivation
mfpA	quinolone	antibiotic target protection	antibiotic target protection
vatH	macrolide;lincosamide;streptogramin	antibiotic inactivation	antibiotic inactivation
APH(2'')-Ig	aminoglycoside	antibiotic inactivation	antibiotic inactivation
ANT(6)-Ia	aminoglycoside	antibiotic inactivation	antibiotic inactivation
